Date,Close
28/05/2014 16:00:00,14.02
29/05/2014 16:00:00,14.02
30/05/2014 16:00:00,13.85
02/06/2014 16:00:00,13.65
03/06/2014 16:00:00,13.66
04/06/2014 16:00:00,13.6
05/06/2014 16:00:00,13.79
06/06/2014 16:00:00,13.88
09/06/2014 16:00:00,13.69
10/06/2014 16:00:00,13.49
11/06/2014 16:00:00,13.63
12/06/2014 16:00:00,13.57
13/06/2014 16:00:00,13.76
16/06/2014 16:00:00,14.97
17/06/2014 16:00:00,15.44
18/06/2014 16:00:00,15.14
19/06/2014 16:00:00,15.19
20/06/2014 16:00:00,15.31
23/06/2014 16:00:00,15.81
24/06/2014 16:00:00,15.5
25/06/2014 16:00:00,15.79
26/06/2014 16:00:00,15.71
27/06/2014 16:00:00,15.94
30/06/2014 16:00:00,16
01/07/2014 16:00:00,15.98
02/07/2014 16:00:00,15.3
03/07/2014 16:00:00,15.28
07/07/2014 16:00:00,14.84
08/07/2014 16:00:00,14.6
09/07/2014 16:00:00,14.87
10/07/2014 16:00:00,14.63
11/07/2014 16:00:00,14.54
14/07/2014 16:00:00,15.11
15/07/2014 16:00:00,14.64
16/07/2014 16:00:00,14.48
17/07/2014 16:00:00,14.36
18/07/2014 16:00:00,14.67
21/07/2014 16:00:00,14.7
22/07/2014 16:00:00,14.64
23/07/2014 16:00:00,14.83
24/07/2014 16:00:00,14.9
25/07/2014 16:00:00,14.9
28/07/2014 16:00:00,14.99
29/07/2014 16:00:00,15
30/07/2014 16:00:00,15.26
31/07/2014 16:00:00,14.89
01/08/2014 16:00:00,15.55
04/08/2014 16:00:00,15.9
05/08/2014 16:00:00,15.9
06/08/2014 16:00:00,16.6
07/08/2014 16:00:00,16.83
08/08/2014 16:00:00,16.54
11/08/2014 16:00:00,17.29
12/08/2014 16:00:00,17.33
13/08/2014 16:00:00,17.35
14/08/2014 16:00:00,17.43
15/08/2014 16:00:00,17.47
18/08/2014 16:00:00,17.33
19/08/2014 16:00:00,17.12
20/08/2014 16:00:00,17.05
21/08/2014 16:00:00,16.96
22/08/2014 16:00:00,17.12
25/08/2014 16:00:00,17.5
26/08/2014 16:00:00,17.45
27/08/2014 16:00:00,17.55
28/08/2014 16:00:00,17.59
29/08/2014 16:00:00,17.98
02/09/2014 16:00:00,18.94
03/09/2014 16:00:00,18.75
04/09/2014 16:00:00,19.07
05/09/2014 16:00:00,18.49
08/09/2014 16:00:00,18.81
09/09/2014 16:00:00,18.57
10/09/2014 16:00:00,18.74
11/09/2014 16:00:00,18.69
12/09/2014 16:00:00,18.61
15/09/2014 16:00:00,16.92
16/09/2014 16:00:00,17.38
17/09/2014 16:00:00,17.43
18/09/2014 16:00:00,17.59
19/09/2014 16:00:00,17.29
22/09/2014 16:00:00,16.67
23/09/2014 16:00:00,16.69
24/09/2014 16:00:00,16.81
25/09/2014 16:00:00,16.46
26/09/2014 16:00:00,16.44
29/09/2014 16:00:00,16.35
30/09/2014 16:00:00,16.18
01/10/2014 16:00:00,16.02
02/10/2014 16:00:00,16.76
03/10/2014 16:00:00,17.01
06/10/2014 16:00:00,17.37
07/10/2014 16:00:00,17.3
08/10/2014 16:00:00,17.29
09/10/2014 16:00:00,17.13
10/10/2014 16:00:00,15.79
13/10/2014 16:00:00,14.97
14/10/2014 16:00:00,15.14
15/10/2014 16:00:00,15.31
16/10/2014 16:00:00,15.09
17/10/2014 16:00:00,15.17
20/10/2014 16:00:00,15.36
21/10/2014 16:00:00,15.69
22/10/2014 16:00:00,15.41
23/10/2014 16:00:00,15.69
24/10/2014 16:00:00,15.68
27/10/2014 16:00:00,14.78
28/10/2014 16:00:00,16.18
29/10/2014 16:00:00,15.87
30/10/2014 16:00:00,15.91
31/10/2014 16:00:00,16.11
03/11/2014 16:00:00,16.17
04/11/2014 16:00:00,15.93
05/11/2014 16:00:00,15.4
06/11/2014 16:00:00,16.08
07/11/2014 16:00:00,16.01
10/11/2014 16:00:00,16.13
11/11/2014 16:00:00,16.74
12/11/2014 16:00:00,16.61
13/11/2014 16:00:00,16.78
14/11/2014 16:00:00,17.25
17/11/2014 16:00:00,16.93
18/11/2014 16:00:00,17.18
19/11/2014 16:00:00,16.52
20/11/2014 16:00:00,16.58
21/11/2014 16:00:00,16.19
24/11/2014 16:00:00,16.45
25/11/2014 16:00:00,16.54
26/11/2014 16:00:00,16.56
28/11/2014 16:00:00,16.3
01/12/2014 16:00:00,15.44
02/12/2014 16:00:00,15.43
03/12/2014 16:00:00,15.29
04/12/2014 16:00:00,15.22
05/12/2014 16:00:00,14.91
08/12/2014 16:00:00,14.29
09/12/2014 16:00:00,14.46
10/12/2014 16:00:00,13.99
11/12/2014 16:00:00,13.93
12/12/2014 16:00:00,13.8
15/12/2014 16:00:00,13.6
16/12/2014 16:00:00,13.19
17/12/2014 16:00:00,13.72
18/12/2014 16:00:00,14.55
19/12/2014 16:00:00,14.62
22/12/2014 16:00:00,14.84
23/12/2014 16:00:00,14.73
24/12/2014 16:00:00,14.82
26/12/2014 16:00:00,15.19
29/12/2014 16:00:00,15.05
30/12/2014 16:00:00,14.82
31/12/2014 16:00:00,14.83
02/01/2015 16:00:00,14.62
05/01/2015 16:00:00,14.01
06/01/2015 16:00:00,14.09
07/01/2015 16:00:00,14.06
08/01/2015 16:00:00,14.04
09/01/2015 16:00:00,13.78
12/01/2015 16:00:00,13.48
13/01/2015 16:00:00,13.62
14/01/2015 16:00:00,12.85
15/01/2015 16:00:00,12.79
16/01/2015 16:00:00,12.87
20/01/2015 16:00:00,12.8
21/01/2015 16:00:00,13.1
22/01/2015 16:00:00,13.44
23/01/2015 16:00:00,13.42
26/01/2015 16:00:00,13.77
27/01/2015 16:00:00,13.73
28/01/2015 16:00:00,13.29
29/01/2015 16:00:00,13.68
30/01/2015 16:00:00,13.57
02/02/2015 16:00:00,14.06
03/02/2015 16:00:00,14.56
04/02/2015 16:00:00,14.57
05/02/2015 16:00:00,14.73
06/02/2015 16:00:00,14.49
09/02/2015 16:00:00,14.5
10/02/2015 16:00:00,14.42
11/02/2015 16:00:00,14.19
12/02/2015 16:00:00,13.53
13/02/2015 16:00:00,13.58
17/02/2015 16:00:00,13.62
18/02/2015 16:00:00,13.63
19/02/2015 16:00:00,14.11
20/02/2015 16:00:00,14.47
23/02/2015 16:00:00,13.82
24/02/2015 16:00:00,13.61
25/02/2015 16:00:00,13.58
26/02/2015 16:00:00,13.81
27/02/2015 16:00:00,13.56
02/03/2015 16:00:00,13.16
03/03/2015 16:00:00,13.3
04/03/2015 16:00:00,13.5
05/03/2015 16:00:00,13.38
06/03/2015 16:00:00,12.93
09/03/2015 16:00:00,12.73
10/03/2015 16:00:00,12.69
11/03/2015 16:00:00,12.92
12/03/2015 16:00:00,12.74
13/03/2015 16:00:00,12.58
16/03/2015 16:00:00,13.05
17/03/2015 16:00:00,12.98
18/03/2015 16:00:00,13.38
19/03/2015 16:00:00,13.04
20/03/2015 16:00:00,13.21
23/03/2015 16:00:00,13.31
24/03/2015 16:00:00,13.45
25/03/2015 16:00:00,12.95
26/03/2015 16:00:00,12.69
27/03/2015 16:00:00,12.33
30/03/2015 16:00:00,12.7
31/03/2015 16:00:00,12.58
01/04/2015 16:00:00,12.51
02/04/2015 16:00:00,12.73
06/04/2015 16:00:00,13.54
07/04/2015 16:00:00,13.55
08/04/2015 16:00:00,13.84
09/04/2015 16:00:00,14.01
10/04/2015 16:00:00,14.06
13/04/2015 16:00:00,13.99
14/04/2015 16:00:00,13.83
15/04/2015 16:00:00,13.86
16/04/2015 16:00:00,13.78
17/04/2015 16:00:00,13.79
20/04/2015 16:00:00,13.68
21/04/2015 16:00:00,13.96
22/04/2015 16:00:00,14.63
23/04/2015 16:00:00,14.57
24/04/2015 16:00:00,14.56
27/04/2015 16:00:00,15.44
28/04/2015 16:00:00,15.37
29/04/2015 16:00:00,15.5
30/04/2015 16:00:00,15.07
01/05/2015 16:00:00,15.07
04/05/2015 16:00:00,15.37
05/05/2015 16:00:00,15.53
06/05/2015 16:00:00,15.36
07/05/2015 16:00:00,15.79
08/05/2015 16:00:00,15.77
11/05/2015 16:00:00,15.97
12/05/2015 16:00:00,16.32
13/05/2015 16:00:00,16.21
14/05/2015 16:00:00,16.27
15/05/2015 16:00:00,16.59
18/05/2015 16:00:00,16.58
19/05/2015 16:00:00,16.48
20/05/2015 16:00:00,16.29
21/05/2015 16:00:00,16.37
22/05/2015 16:00:00,16.52
26/05/2015 16:00:00,16.5
27/05/2015 16:00:00,16.5
28/05/2015 16:00:00,16.76
29/05/2015 16:00:00,16.72
01/06/2015 16:00:00,16.63
02/06/2015 16:00:00,16.56
03/06/2015 16:00:00,16.6
04/06/2015 16:00:00,16.39
