Date,Close
05/09/2014 16:00:00,77.26
08/09/2014 16:00:00,77.89
09/09/2014 16:00:00,76.67
10/09/2014 16:00:00,77.43
11/09/2014 16:00:00,77.92
12/09/2014 16:00:00,77.48
15/09/2014 16:00:00,74.58
16/09/2014 16:00:00,76.08
17/09/2014 16:00:00,76.43
18/09/2014 16:00:00,77
19/09/2014 16:00:00,77.91
22/09/2014 16:00:00,76.8
23/09/2014 16:00:00,78.29
24/09/2014 16:00:00,78.54
25/09/2014 16:00:00,77.22
26/09/2014 16:00:00,78.79
29/09/2014 16:00:00,79
30/09/2014 16:00:00,79.04
01/10/2014 16:00:00,76.55
02/10/2014 16:00:00,77.08
03/10/2014 16:00:00,77.44
06/10/2014 16:00:00,77.56
07/10/2014 16:00:00,76.29
08/10/2014 16:00:00,77.52
09/10/2014 16:00:00,75.91
10/10/2014 16:00:00,72.91
13/10/2014 16:00:00,72.99
14/10/2014 16:00:00,73.59
15/10/2014 16:00:00,73.21
16/10/2014 16:00:00,72.63
17/10/2014 16:00:00,75.95
20/10/2014 16:00:00,76.95
21/10/2014 16:00:00,78.69
22/10/2014 16:00:00,78.37
23/10/2014 16:00:00,80.04
24/10/2014 16:00:00,80.67
27/10/2014 16:00:00,80.28
28/10/2014 16:00:00,80.77
29/10/2014 16:00:00,75.86
30/10/2014 16:00:00,74.11
31/10/2014 16:00:00,74.99
03/11/2014 16:00:00,73.88
04/11/2014 16:00:00,75.76
05/11/2014 16:00:00,74.83
06/11/2014 16:00:00,75.26
07/11/2014 16:00:00,75.6
10/11/2014 16:00:00,75
11/11/2014 16:00:00,74.61
12/11/2014 16:00:00,74.72
13/11/2014 16:00:00,74.25
14/11/2014 16:00:00,74.88
17/11/2014 16:00:00,74.24
18/11/2014 16:00:00,74.34
19/11/2014 16:00:00,73.33
20/11/2014 16:00:00,73.6
21/11/2014 16:00:00,73.75
24/11/2014 16:00:00,74.01
25/11/2014 16:00:00,75.63
26/11/2014 16:00:00,77.62
28/11/2014 16:00:00,77.7
01/12/2014 16:00:00,75.1
02/12/2014 16:00:00,75.46
03/12/2014 16:00:00,74.88
04/12/2014 16:00:00,75.24
05/12/2014 16:00:00,76.36
08/12/2014 16:00:00,76.52
09/12/2014 16:00:00,76.84
10/12/2014 16:00:00,76.18
11/12/2014 16:00:00,77.73
12/12/2014 16:00:00,77.83
15/12/2014 16:00:00,76.99
16/12/2014 16:00:00,74.69
17/12/2014 16:00:00,76.11
18/12/2014 16:00:00,78.4
19/12/2014 16:00:00,79.88
22/12/2014 16:00:00,81.45
23/12/2014 16:00:00,80.61
24/12/2014 16:00:00,80.77
26/12/2014 16:00:00,80.78
29/12/2014 16:00:00,80.02
30/12/2014 16:00:00,79.22
31/12/2014 16:00:00,78.02
02/01/2015 16:00:00,78.45
05/01/2015 16:00:00,77.19
06/01/2015 16:00:00,76.15
07/01/2015 16:00:00,76.15
08/01/2015 16:00:00,78.18
09/01/2015 16:00:00,77.74
12/01/2015 16:00:00,76.72
13/01/2015 16:00:00,76.45
14/01/2015 16:00:00,76.28
15/01/2015 16:00:00,74.05
16/01/2015 16:00:00,75.18
20/01/2015 16:00:00,76.24
21/01/2015 16:00:00,76.74
22/01/2015 16:00:00,77.65
23/01/2015 16:00:00,77.83
26/01/2015 16:00:00,77.5
27/01/2015 16:00:00,75.78
28/01/2015 16:00:00,76.24
29/01/2015 16:00:00,78
30/01/2015 16:00:00,75.91
02/02/2015 16:00:00,74.99
03/02/2015 16:00:00,75.4
04/02/2015 16:00:00,75.63
05/02/2015 16:00:00,75.61
06/02/2015 16:00:00,74.47
09/02/2015 16:00:00,74.44
10/02/2015 16:00:00,75.19
11/02/2015 16:00:00,76.51
12/02/2015 16:00:00,76.23
13/02/2015 16:00:00,75.74
17/02/2015 16:00:00,75.6
18/02/2015 16:00:00,76.71
19/02/2015 16:00:00,79.42
20/02/2015 16:00:00,79.9
23/02/2015 16:00:00,78.84
24/02/2015 16:00:00,78.45
25/02/2015 16:00:00,79.56
26/02/2015 16:00:00,80.41
27/02/2015 16:00:00,78.97
02/03/2015 16:00:00,79.75
03/03/2015 16:00:00,79.6
04/03/2015 16:00:00,80.9
05/03/2015 16:00:00,81.21
06/03/2015 16:00:00,80.01
09/03/2015 16:00:00,79.44
10/03/2015 16:00:00,77.55
11/03/2015 16:00:00,77.57
12/03/2015 16:00:00,78.93
13/03/2015 16:00:00,78.05
16/03/2015 16:00:00,78.07
17/03/2015 16:00:00,79.36
18/03/2015 16:00:00,80.91
19/03/2015 16:00:00,82.75
20/03/2015 16:00:00,83.8
23/03/2015 16:00:00,84.43
24/03/2015 16:00:00,85.31
25/03/2015 16:00:00,82.92
26/03/2015 16:00:00,83.01
27/03/2015 16:00:00,83.3
30/03/2015 16:00:00,83.2
31/03/2015 16:00:00,82.22
01/04/2015 16:00:00,81.67
02/04/2015 16:00:00,81.56
06/04/2015 16:00:00,82.44
07/04/2015 16:00:00,82.32
08/04/2015 16:00:00,82.28
09/04/2015 16:00:00,82.17
10/04/2015 16:00:00,82.04
13/04/2015 16:00:00,83.01
14/04/2015 16:00:00,83.52
15/04/2015 16:00:00,82.71
16/04/2015 16:00:00,82.31
17/04/2015 16:00:00,80.78
20/04/2015 16:00:00,83.09
21/04/2015 16:00:00,83.62
22/04/2015 16:00:00,84.63
23/04/2015 16:00:00,82.41
24/04/2015 16:00:00,81.53
27/04/2015 16:00:00,81.91
28/04/2015 16:00:00,80.68
29/04/2015 16:00:00,80.47
30/04/2015 16:00:00,78.77
01/05/2015 16:00:00,78.99
04/05/2015 16:00:00,78.81
05/05/2015 16:00:00,77.56
06/05/2015 16:00:00,78.1
07/05/2015 16:00:00,78.43
08/05/2015 16:00:00,78.51
11/05/2015 16:00:00,78.01
12/05/2015 16:00:00,77.46
13/05/2015 16:00:00,78.44
14/05/2015 16:00:00,81.37
15/05/2015 16:00:00,80.42
18/05/2015 16:00:00,80.88
19/05/2015 16:00:00,80.63
20/05/2015 16:00:00,80.55
21/05/2015 16:00:00,80.48
22/05/2015 16:00:00,80.54
26/05/2015 16:00:00,79.33
27/05/2015 16:00:00,80.55
28/05/2015 16:00:00,80.15
29/05/2015 16:00:00,79.19
01/06/2015 16:00:00,80.29
02/06/2015 16:00:00,80.44
03/06/2015 16:00:00,82.44
04/06/2015 16:00:00,82.05
05/06/2015 16:00:00,82.14
08/06/2015 16:00:00,80.67
09/06/2015 16:00:00,80.67
10/06/2015 16:00:00,82.16
11/06/2015 16:00:00,81.83
12/06/2015 16:00:00,81.53
15/06/2015 16:00:00,80.71
16/06/2015 16:00:00,81.06
17/06/2015 16:00:00,81.79
18/06/2015 16:00:00,82.91
19/06/2015 16:00:00,82.51
22/06/2015 16:00:00,84.74
23/06/2015 16:00:00,87.88
24/06/2015 16:00:00,88.86
25/06/2015 16:00:00,87.98
26/06/2015 16:00:00,88.01
29/06/2015 16:00:00,85.8
30/06/2015 16:00:00,85.77
01/07/2015 16:00:00,86.91
02/07/2015 16:00:00,87.29
06/07/2015 16:00:00,87.55
07/07/2015 16:00:00,87.22
08/07/2015 16:00:00,85.65
09/07/2015 16:00:00,85.88
10/07/2015 16:00:00,87.95
13/07/2015 16:00:00,90.1
14/07/2015 16:00:00,89.68
15/07/2015 16:00:00,89.76
16/07/2015 16:00:00,90.85
17/07/2015 16:00:00,94.97
20/07/2015 16:00:00,97.91
21/07/2015 16:00:00,98.39
22/07/2015 16:00:00,97.04
23/07/2015 16:00:00,95.44
24/07/2015 16:00:00,96.95
27/07/2015 16:00:00,94.17
28/07/2015 16:00:00,95.29
29/07/2015 16:00:00,96.99
30/07/2015 16:00:00,95.21
31/07/2015 16:00:00,94.01
03/08/2015 16:00:00,94.14
04/08/2015 16:00:00,94.06
05/08/2015 16:00:00,96.44
06/08/2015 16:00:00,95.12
07/08/2015 16:00:00,94.3
10/08/2015 16:00:00,94.15
11/08/2015 16:00:00,93.62
12/08/2015 16:00:00,94.19
13/08/2015 16:00:00,93.43
14/08/2015 16:00:00,94.42
17/08/2015 16:00:00,93.93
18/08/2015 16:00:00,95.17
19/08/2015 16:00:00,95.31
20/08/2015 16:00:00,90.56
21/08/2015 16:00:00,86.06
24/08/2015 16:00:00,82.09
25/08/2015 16:00:00,83
26/08/2015 16:00:00,87.19
27/08/2015 16:00:00,89.73
28/08/2015 16:00:00,91.01
31/08/2015 16:00:00,89.43
01/09/2015 16:00:00,87.23
02/09/2015 16:00:00,89.89
03/09/2015 16:00:00,88.15
04/09/2015 16:00:00,88.26
08/09/2015 16:00:00,89.53
09/09/2015 16:00:00,90.44
10/09/2015 16:00:00,91.98
11/09/2015 16:00:00,92.05
14/09/2015 16:00:00,92.31
15/09/2015 16:00:00,92.9
16/09/2015 16:00:00,93.45
17/09/2015 16:00:00,94.34
18/09/2015 16:00:00,94.4
21/09/2015 16:00:00,95.55
22/09/2015 16:00:00,92.96
23/09/2015 16:00:00,93.97
