Date,Close
02/01/2020 16:00:00,75.09
03/01/2020 16:00:00,74.36
06/01/2020 16:00:00,74.95
07/01/2020 16:00:00,74.6
08/01/2020 16:00:00,75.8
09/01/2020 16:00:00,77.41
10/01/2020 16:00:00,77.58
13/01/2020 16:00:00,79.24
14/01/2020 16:00:00,78.17
15/01/2020 16:00:00,77.83
16/01/2020 16:00:00,78.81
17/01/2020 16:00:00,79.68
21/01/2020 16:00:00,79.14
22/01/2020 16:00:00,79.43
23/01/2020 16:00:00,79.81
24/01/2020 16:00:00,79.58
27/01/2020 16:00:00,77.24
28/01/2020 16:00:00,79.42
29/01/2020 16:00:00,81.08
30/01/2020 16:00:00,80.97
31/01/2020 16:00:00,77.38
03/02/2020 16:00:00,77.17
04/02/2020 16:00:00,79.71
05/02/2020 16:00:00,80.36
06/02/2020 16:00:00,81.3
07/02/2020 16:00:00,80.01
10/02/2020 16:00:00,80.39
11/02/2020 16:00:00,79.9
12/02/2020 16:00:00,81.8
13/02/2020 16:00:00,81.22
14/02/2020 16:00:00,81.24
18/02/2020 16:00:00,79.75
19/02/2020 16:00:00,80.91
20/02/2020 16:00:00,80.08
21/02/2020 16:00:00,78.26
24/02/2020 16:00:00,74.55
25/02/2020 16:00:00,72.02
26/02/2020 16:00:00,73.16
27/02/2020 16:00:00,68.38
28/02/2020 16:00:00,68.34
02/03/2020 16:00:00,74.7
03/03/2020 16:00:00,72.33
04/03/2020 16:00:00,75.69
05/03/2020 16:00:00,73.23
06/03/2020 16:00:00,72.26
09/03/2020 16:00:00,66.54
10/03/2020 16:00:00,71.33
11/03/2020 16:00:00,68.86
12/03/2020 16:00:00,62.06
13/03/2020 16:00:00,69.49
16/03/2020 16:00:00,60.55
17/03/2020 16:00:00,63.22
18/03/2020 16:00:00,61.67
19/03/2020 16:00:00,61.2
20/03/2020 16:00:00,57.31
23/03/2020 16:00:00,56.09
24/03/2020 16:00:00,61.72
25/03/2020 16:00:00,61.38
26/03/2020 16:00:00,64.61
27/03/2020 16:00:00,61.94
30/03/2020 16:00:00,63.7
31/03/2020 16:00:00,63.57
01/04/2020 16:00:00,60.23
02/04/2020 16:00:00,61.23
03/04/2020 16:00:00,60.35
06/04/2020 16:00:00,65.62
07/04/2020 16:00:00,64.86
08/04/2020 16:00:00,66.52
09/04/2020 16:00:00,67
13/04/2020 16:00:00,68.31
14/04/2020 16:00:00,71.76
15/04/2020 16:00:00,71.11
16/04/2020 16:00:00,71.67
17/04/2020 16:00:00,70.7
20/04/2020 16:00:00,69.23
21/04/2020 16:00:00,67.09
22/04/2020 16:00:00,69.03
23/04/2020 16:00:00,68.76
24/04/2020 16:00:00,70.74
27/04/2020 16:00:00,70.79
28/04/2020 16:00:00,69.65
